,status,walkscore,snapped_lat,snapped_lon,bike_score
291,1,27.0,47.6385,-122.289,37.0
292,1,46.0,47.346,-122.304,40.0
293,1,93.0,47.613,-122.295,80.0
294,1,27.0,47.709,-122.2005,23.0
295,1,55.0,47.562,-122.3985,36.0
296,1,33.0,47.292,-122.3595,52.0
297,1,8.0,47.448,-122.1345,22.0
298,1,70.0,39.975,-75.2295,68.0
299,1,45.0,47.358,-122.1555,27.0
300,1,20.0,47.5605,-122.4015,22.0
301,1,54.0,47.7195,-122.175,47.0
302,1,63.0,47.6445,-121.914,60.0
303,1,15.0,47.403,-122.1855,16.0
304,1,18.0,47.193,-122.013,29.0
305,1,45.0,47.274,-122.2485,53.0
306,1,29.0,47.6955,-122.3925,45.0
307,1,5.0,47.739,-122.259,14.0
308,1,19.0,47.4615,-122.1885,34.0
309,1,0.0,47.7,-121.8735,10.0
310,1,0.0,47.3355,-122.1105,18.0
311,1,77.0,47.6895,-122.34,76.0
312,1,3.0,47.7645,-122.049,19.0
313,1,17.0,47.5815,-122.1885,54.0
314,1,15.0,47.475,-122.1195,7.0
315,1,1.0,47.481,-121.734,16.0
316,1,90.0,47.688,-122.3475,82.0
317,1,51.0,47.5005,-122.3235,30.0
318,1,6.0,47.3325,-122.259,7.0
319,1,92.0,47.655,-122.3535,80.0
320,1,4.0,47.718,-122.0325,15.0
321,1,34.0,47.4825,-122.19,16.0
322,1,32.0,47.367,-122.1795,44.0
323,1,53.0,47.5695,-122.397,44.0
324,1,34.0,47.7525,-122.244,40.0
325,1,67.0,47.535,-121.8705,59.0
326,1,90.0,47.5845,-122.385,75.0
327,1,46.0,47.205,-122.0055,48.0
328,1,17.0,47.5815,-122.1885,54.0
329,1,0.0,47.7585,-121.932,
330,1,46.0,47.529,-122.3895,34.0
331,1,85.0,47.6925,-122.3745,77.0
332,1,79.0,47.6025,-122.295,86.0
333,1,21.0,47.442,-122.274,45.0
334,1,52.0,44.9025,-93.228,52.0
335,1,26.0,47.6475,-122.4105,42.0
336,1,36.0,47.4315,-122.3385,22.0
337,1,72.0,47.6685,-122.193,60.0
338,1,62.0,47.5425,-122.166,45.0
339,1,75.0,47.6925,-122.3415,77.0
340,1,57.0,47.697,-122.3265,81.0
341,1,95.0,47.4825,-122.205,85.0
342,1,54.0,47.7195,-122.175,47.0
343,1,47.0,47.775,-122.379,43.0
344,1,34.0,47.4795,-122.2755,25.0
345,1,11.0,47.4765,-121.767,28.0
346,1,83.0,47.6715,-122.3685,90.0
347,1,20.0,47.319,-122.19,15.0
348,1,73.0,47.7405,-122.34,68.0
349,1,84.0,47.559,-122.3925,59.0
350,1,9.0,47.604,-122.0205,32.0
351,1,26.0,47.544,-122.3565,68.0
352,1,6.0,47.7255,-122.1015,29.0
353,1,8.0,47.376,-122.322,11.0
354,1,63.0,47.4705,-122.2815,43.0
355,1,1.0,47.622,-122.058,11.0
356,1,88.0,47.6715,-122.202,79.0
357,1,5.0,47.331,-122.259,3.0
358,1,21.0,47.34,-122.2905,32.0
359,1,19.0,47.7045,-122.1135,37.0
360,1,90.0,47.685,-122.349,91.0
361,1,76.0,47.5335,-121.875,57.0
362,1,1.0,47.7675,-122.0685,9.0
363,1,38.0,47.532,-122.3475,53.0
364,1,3.0,47.631,-122.049,25.0
365,1,80.0,47.706,-122.346,68.0
366,1,63.0,47.49,-122.178,48.0
367,1,21.0,47.736,-121.9665,25.0
368,1,69.0,47.643,-122.3685,75.0
369,1,58.0,47.604,-122.034,38.0
370,1,28.0,47.3265,-122.34,36.0
371,1,80.0,47.6955,-122.319,94.0
372,1,1.0,47.598,-121.983,22.0
373,1,85.0,47.688,-122.379,75.0
374,1,14.0,47.334,-122.3295,22.0
375,1,11.0,47.481,-121.7715,29.0
376,1,13.0,47.5305,-122.148,14.0
377,1,53.0,47.4735,-122.2005,18.0
378,1,36.0,47.757,-122.226,32.0
379,1,7.0,47.4285,-122.28,13.0
380,1,9.0,47.4285,-122.2785,15.0
381,1,7.0,47.5305,-122.0745,7.0
382,1,19.0,47.5155,-122.1885,28.0
383,1,3.0,47.6175,-122.061,17.0
384,1,16.0,47.5875,-121.974,19.0
385,1,6.0,47.5215,-122.1615,15.0
386,1,34.0,47.595,-122.244,45.0
387,1,25.0,47.34,-122.049,32.0
388,1,32.0,47.427,-122.3235,25.0
389,1,83.0,47.556,-122.28,54.0
390,1,47.0,47.4915,-122.343,36.0
391,1,1.0,47.3535,-122.0025,3.0
392,1,10.0,47.361,-122.076,31.0
393,1,5.0,47.688,-121.911,28.0
394,1,3.0,47.4705,-122.0685,3.0
395,1,10.0,47.361,-122.076,31.0
396,1,29.0,47.745,-122.2995,51.0
397,1,4.0,42.534,-87.864,31.0
398,1,19.0,47.5155,-122.1885,28.0
399,1,44.0,47.574,-122.229,21.0
400,1,55.0,47.6985,-122.3805,60.0
401,1,73.0,47.6835,-122.385,80.0
402,1,15.0,47.259,-122.244,37.0
403,1,17.0,47.7585,-122.0715,17.0
404,1,45.0,47.5755,-122.136,63.0
405,1,70.0,47.589,-122.3865,87.0
406,1,11.0,47.547,-122.1495,13.0
407,1,11.0,47.262,-122.295,37.0
408,1,31.0,47.202,-122.01,36.0
409,1,65.0,47.664,-122.346,85.0
410,1,81.0,47.6775,-122.3505,79.0
411,1,36.0,47.7525,-122.223,29.0
412,1,74.0,47.5245,-122.2785,57.0
413,1,34.0,47.511,-122.388,24.0
414,1,32.0,47.67,-122.151,57.0
415,1,49.0,47.2035,-122.0055,48.0
416,1,53.0,47.5575,-122.364,68.0
417,1,49.0,47.4495,-122.1885,30.0
418,1,73.0,47.5695,-122.3715,69.0
419,1,39.0,47.7765,-122.3775,38.0
420,1,55.0,47.538,-122.268,60.0
421,1,60.0,40.3965,-79.902,15.0
422,1,74.0,47.631,-122.283,36.0
423,1,66.0,47.616,-122.2125,26.0
424,1,24.0,47.64,-122.1105,54.0
425,1,18.0,47.619,-122.0445,25.0
426,1,80.0,47.6835,-122.3805,72.0
427,1,83.0,47.544,-122.385,56.0
428,1,18.0,47.3895,-122.1525,50.0
429,1,54.0,47.274,-122.253,65.0
430,1,33.0,47.7585,-122.229,43.0
431,1,42.0,47.5905,-122.133,62.0
432,1,55.0,47.571,-122.409,43.0
433,1,36.0,47.3595,-122.0565,32.0
434,1,18.0,47.3505,-122.0505,31.0
435,1,86.0,47.2005,-121.9965,55.0
436,1,57.0,47.559,-122.1165,44.0
437,1,93.0,47.6745,-122.3775,95.0
438,1,52.0,47.6235,-122.1195,65.0
439,1,80.0,47.685,-122.322,71.0
440,1,77.0,47.5665,-122.3715,61.0
441,1,27.0,47.7555,-122.361,18.0
442,1,66.0,47.568,-122.2965,70.0
443,1,65.0,47.7765,-122.3475,61.0
444,1,20.0,47.466,-122.19,23.0
