,status,walkscore,snapped_lat,snapped_lon,bike_score
176,1,3.0,47.5515,-122.211,7.0
177,1,16.0,47.616,-122.2245,10.0
178,1,10.0,47.6385,-122.241,26.0
179,1,14.0,47.5425,-122.2095,32.0
180,1,56.0,47.6265,-122.2095,33.0
181,1,17.0,47.5725,-121.908,29.0
182,1,18.0,47.58,-122.247,13.0
183,1,8.0,47.571,-121.908,27.0
184,1,8.0,47.571,-121.908,27.0
185,1,8.0,47.571,-121.908,27.0
186,1,8.0,47.571,-121.908,27.0
187,1,17.0,47.5725,-121.908,29.0
188,1,19.0,47.6295,-122.2365,25.0
189,1,8.0,47.571,-121.908,27.0
190,1,52.0,47.6865,-122.214,41.0
191,1,2.0,47.7255,-122.118,2.0
192,1,17.0,47.5725,-121.908,29.0
193,1,18.0,47.6385,-122.1615,28.0
194,1,49.0,47.619,-122.217,25.0
195,1,4.0,47.571,-122.1915,39.0
196,1,22.0,47.6205,-122.2215,22.0
197,1,6.0,47.5305,-122.2335,12.0
198,1,18.0,47.565,-122.229,7.0
199,1,17.0,47.6715,-122.2605,52.0
200,1,10.0,47.568,-122.187,33.0
201,1,7.0,47.634,-122.0715,27.0
202,1,35.0,47.5935,-122.2875,53.0
203,1,28.0,47.6175,-122.235,29.0
204,1,12.0,47.6055,-122.214,5.0
205,1,17.0,47.64,-122.2155,51.0
206,1,19.0,47.607,-122.2155,8.0
207,1,61.0,47.754,-122.274,75.0
208,1,65.0,47.628,-122.3145,95.0
209,1,65.0,47.754,-122.2755,77.0
210,1,5.0,47.607,-122.076,51.0
211,1,2.0,47.7255,-122.0475,6.0
212,1,41.0,47.622,-122.211,37.0
213,1,26.0,47.619,-122.238,26.0
214,1,48.0,47.7495,-122.1585,62.0
215,1,40.0,47.6325,-122.211,36.0
216,1,27.0,47.5905,-122.1975,43.0
217,1,18.0,47.6385,-122.1615,28.0
218,1,1.0,47.5425,-121.98,6.0
219,1,37.0,47.619,-122.283,60.0
220,1,16.0,47.6385,-122.412,40.0
221,1,9.0,47.649,-122.4165,16.0
222,1,9.0,47.649,-122.4165,16.0
223,1,15.0,47.5185,-122.211,47.0
224,1,90.0,47.631,-122.355,53.0
225,1,12.0,47.529,-122.2245,12.0
226,1,62.0,47.6265,-122.208,35.0
227,1,21.0,47.6325,-122.2215,29.0
228,1,43.0,47.598,-122.2005,34.0
229,1,29.0,47.547,-121.9905,16.0
230,1,7.0,47.6415,-122.184,44.0
231,1,2.0,47.739,-122.2665,29.0
232,1,33.0,47.574,-122.283,63.0
233,1,29.0,47.547,-121.9905,16.0
234,1,4.0,47.562,-122.211,8.0
235,1,26.0,47.622,-122.2185,22.0
236,1,70.0,47.628,-122.2875,64.0
237,1,57.0,47.6355,-122.2005,54.0
238,1,33.0,47.5815,-122.1795,45.0
239,1,3.0,47.742,-122.373,4.0
240,1,29.0,47.592,-122.2005,44.0
241,1,73.0,47.6655,-122.193,62.0
242,1,5.0,47.5575,-122.1465,1.0
243,1,25.0,47.6775,-122.274,56.0
244,1,27.0,47.586,-122.193,58.0
245,1,45.0,47.58,-122.244,17.0
246,1,21.0,47.589,-122.2005,38.0
247,1,1.0,47.721,-122.0565,19.0
248,1,16.0,47.613,-122.226,14.0
249,1,3.0,47.6475,-122.181,14.0
250,1,15.0,47.5815,-122.202,59.0
251,1,2.0,47.532,-122.2395,28.0
252,1,55.0,47.6355,-122.199,50.0
253,1,4.0,47.724,-122.034,31.0
254,1,29.0,47.6205,-122.2185,24.0
255,1,16.0,47.613,-122.226,14.0
256,1,10.0,47.6715,-122.259,46.0
257,1,38.0,47.721,-122.283,49.0
258,1,23.0,47.6205,-122.2245,31.0
259,1,50.0,47.634,-122.1675,46.0
260,1,28.0,47.631,-122.214,29.0
261,1,60.0,47.6295,-122.3025,74.0
262,1,30.0,47.5905,-122.196,41.0
263,1,57.0,47.6715,-122.406,77.0
264,1,3.0,47.661,-122.0115,24.0
