,status,walkscore,description,updated,logo_url,more_info_icon,more_info_link,ws_link,help_link,snapped_lat,snapped_lon,transit,bike
45,1,85.0,Very Walkable,2023-02-09 07:40:05.736760,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.311495/lng=-122.228075/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.3115,-122.2275,"{'score': None, 'description': None, 'summary': None}","{'score': 63, 'description': 'Bikeable'}"
46,1,91.0,Walker's Paradise,2023-02-09 03:58:23.865947,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.68571/lng=-122.3458/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.685,-122.346,"{'score': None, 'description': None, 'summary': None}","{'score': 85, 'description': 'Very Bikeable'}"
47,1,70.0,Very Walkable,2023-02-08 23:36:14.069859,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.75534/lng=-122.283185/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.7555,-122.283,,"{'score': 71, 'description': 'Very Bikeable'}"
48,1,25.0,Car-Dependent,2023-02-09 07:45:25.601114,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.39079/lng=-122.17303/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.391,-122.1735,"{'score': None, 'description': None, 'summary': None}","{'score': 33, 'description': 'Somewhat Bikeable'}"
49,1,10.0,Car-Dependent,2022-10-06 16:26:01.655500,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.71812/lng=-121.94839/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.718,-121.9485,,"{'score': 31, 'description': 'Somewhat Bikeable'}"
50,1,74.0,Very Walkable,2023-02-09 04:28:21.551995,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.667855/lng=-122.164325/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.6685,-122.1645,"{'score': None, 'description': None, 'summary': None}","{'score': 70, 'description': 'Very Bikeable'}"
51,1,54.0,Somewhat Walkable,2023-02-09 03:42:54.643623,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.583235/lng=-122.399375/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.583,-122.4,"{'score': None, 'description': None, 'summary': None}","{'score': 53, 'description': 'Bikeable'}"
52,1,25.0,Car-Dependent,2023-02-09 06:58:42.461705,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.49471/lng=-122.32014/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.4945,-122.3205,,"{'score': 41, 'description': 'Somewhat Bikeable'}"
53,1,24.0,Car-Dependent,2023-01-29 06:52:50.192548,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=39.460807/lng=-75.015361/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,39.4605,-75.015,,"{'score': 29, 'description': 'Somewhat Bikeable'}"
54,1,59.0,Somewhat Walkable,2023-02-09 03:53:26.275279,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.71114/lng=-122.33209/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.7105,-122.3325,"{'score': None, 'description': None, 'summary': None}","{'score': 63, 'description': 'Bikeable'}"
